carrera,escuela,direccion,pagina_web,telefono,sitioweb
Diseño Gráfico,IP SANTO TOMAS,"Ruta 5 Norte 1068, La Serena, Región de Coquimbo, Chile",http://ipcft.santotomas.cl/carreras/diseno-grafico/,600 444 4444, Sitio
Diseño Gráfico,IP SANTO TOMAS,"Vicuña Mackenna 4835, San Joaquín, Región Metropolitana, Chile",http://ipcft.santotomas.cl/carreras/diseno-grafico/,600 444 4444, Sitio
Diseño Gráfico,IP SANTO TOMAS,"Carlos Schorr 255, Talca, VII Región, Chile",http://ipcft.santotomas.cl/carreras/diseno-grafico/,600 444 4444, Sitio
Diseño Gráfico,IP SANTO TOMAS,"Arturo Prat 879, Concepción, Región del Bío Bío, Chile",http://ipcft.santotomas.cl/carreras/diseno-grafico/,600 444 4444, Sitio
Diseño Gráfico,IP SANTO TOMAS,"Av. Ramón Picarte 1160, Valdivia, Región de los Ríos, Chile",http://ipcft.santotomas.cl/carreras/diseno-grafico/,600 444 4444, Sitio
Diseño Gráfico,IP SANTO TOMAS,"Buena Vecindad, Puerto Montt, X Región, Chile",http://ipcft.santotomas.cl/carreras/diseno-grafico/,600 444 4444, Sitio
Diseño Gráfico,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,"Brasil 2950, Valparaíso, Región de Valparaíso, Chile",http://www.pucv.cl/pucv/pregrado/diseno-grafico/2015-06-08/161054.html,56 32 227 44 11, Sitio
Diseño Gráfico,UNIVERSIDAD ANDRES BELLO,"Quillota 980, Viña del Mar, Región de Valparaíso, Chile",http://www.unab.cl/admision/carreras/diseno-grafico/,800220333, Sitio
Diseño Gráfico,UNIVERSIDAD ANDRES BELLO,"Av. Las Condes 11121, Las Condes, Región Metropolitana, Chile",http://www.unab.cl/admision/carreras/diseno-grafico/,800220333, Sitio
Diseño Gráfico,UNIVERSIDAD CATOLICA DE TEMUCO,"Av. Alemania 422, Temuco, IX Región, Chile",https://admision.uct.cl/dis-grafico/,56 45 2 203 822, Sitio
Diseño Gráfico,UNIVERSIDAD DE CHILE,"Portugal 84, Santiago, Región Metropolitana, Chile",http://www.fau.uchile.cl/diseno,56 02 29783078, Sitio
Diseño Gráfico,UNIVERSIDAD DE LAS AMERICAS,"Av. Manuel Montt 948, Providencia, Región Metropolitana, Chile",http://admision.udla.cl/carrera/diseno-grafico,2 22531888, Sitio
Diseño Gráfico,UNIVERSIDAD DEL BIO-BIO,"Av. Casilla 5-C - Collao 1202, Concepción, Región del Bío Bío, Chile",http://ubiobio.cl/admision/Arquitectura_Construccion_Diseno/3/Diseno_Grafico/,56- 3111200, Sitio
Diseño Gráfico,UNIVERSIDAD DEL PACIFICO,"Av. Las Condes 11121, Las Condes, Región Metropolitana, Chile",http://web.upacifico.cl/noticias/categoria/carreras/diseno-grafico/,56 228625315, Sitio
Diseño Gráfico Computacional,CFT ICEL,"Av Libertador Bernardo O'Higgins 2520, Santiago, Región Metropolitana, Chile",http://www.icel.cl/diseno-grafico-computacional/,(56 2)2439 99 99, Sitio
Diseño Gráfico Computacional,CFT ICEL,"Av. Los Pajaritos 4650, Maipú, Región Metropolitana, Chile",http://www.icel.cl/diseno-grafico-computacional/,(+56 2)2439 99 99, Sitio
Diseño Gráfico Profesional,IP AIEP,"Av. Ejército Libertador 49, Santiago, Región Metropolitana, Chile",http://www.aiep.cl/carrera/diseno-grafico/43/,600 585 5050, Sitio
Diseño Gráfico Profesional,IP AIEP,"Triana 820, Providencia, Región Metropolitana, Chile",http://www.aiep.cl/carrera/diseno-grafico/43/,600 585 5050, Sitio
Diseño Gráfico Profesional,IP AIEP,"Cuevas 70, Rancagua, VI Región, Chile",http://www.aiep.cl/carrera/diseno-grafico/43/,600 585 5050, Sitio
Diseño Gráfico Profesional,IP AIEP,"Barros Arana 302, Concepción, Región del Bío Bío, Chile",http://www.aiep.cl/carrera/diseno-grafico/43/,600 585 5050, Sitio
Diseño Gráfico Profesional,IP AIEP,"Ejército 200, Puerto Montt, X Región, Chile",http://www.aiep.cl/carrera/diseno-grafico/43/,600 585 5050, Sitio
Diseño Gráfico Profesional,IP INACAP,"Av. La Tirana 4310, Iquique, Región de Tarapacá, Chile",http://www.inacap.cl/tportalvp/diseno-y-comunicaciones/contenido/carreras/diseno-grafico-profesional-cod-a7-a70-5,(57) 51 79 66, Sitio
Diseño Gráfico Profesional,IP INACAP,"Francisco de Aguirre 389, La Serena, Región de Coquimbo, Chile",http://www.inacap.cl/tportalvp/diseno-y-comunicaciones/contenido/carreras/diseno-grafico-profesional-cod-a7-a70-5,(51) 55 35 00, Sitio
Diseño Gráfico Profesional,IP INACAP,"Apoquindo Ote. 7282, Las Condes, Región Metropolitana, Chile",http://www.inacap.cl/tportalvp/diseno-y-comunicaciones/contenido/carreras/diseno-grafico-profesional-cod-a7-a70-5,(2) 2 472 25 00, Sitio
Diseño Gráfico Profesional,IP INACAP,"Brown Nte 290, Ñuñoa, Región Metropolitana, Chile",http://www.inacap.cl/tportalvp/diseno-y-comunicaciones/contenido/carreras/diseno-grafico-profesional-cod-a7-a70-5,2 476 6100, Sitio
Diseño Gráfico Profesional,IP INACAP,"Av. Concha Y Toro 2730, Puente Alto, Región Metropolitana, Chile",http://www.inacap.cl/tportalvp/diseno-y-comunicaciones/contenido/carreras/diseno-grafico-profesional-cod-a7-a70-5,"800 20 25 20, Sitio
Diseño Gráfico Profesional,IP INACAP,"Merced 333, Curicó, Romeral, VII Región, Chile",http://www.inacap.cl/tportalvp/diseno-y-comunicaciones/contenido/carreras/diseno-grafico-profesional-cod-a7-a70-5,(75) 54 30 04, Sitio
Diseño Gráfico Profesional,IP INACAP,"Luis Durand 2150, Temuco, IX Región, Chile",http://www.inacap.cl/tportalvp/diseno-y-comunicaciones/contenido/carreras/diseno-grafico-profesional-cod-a7-a70-5,(45) 91 67 00, Sitio
Diseño Gráfico Profesional,IP INACAP,"Alcalde René Soriano Bórquez 2382, Osorno, X Región, Chile",http://www.inacap.cl/tportalvp/diseno-y-comunicaciones/contenido/carreras/diseno-grafico-profesional-cod-a7-a70-5,(64) 25 57 100, Sitio
Diseño Gráfico Profesional,IP INACAP,"Pedro Sarmiento de Gamboa 4, Punta Arenas, Región de Magallanes y de la Antártica Chilena, Chile",http://www.inacap.cl/tportalvp/diseno-y-comunicaciones/contenido/carreras/diseno-grafico-profesional-cod-a7-a70-5,(61) 71 31 00, Sitio
Diseño Gráfico Profesional ,IP INACAP,"Santa María 2190, Arica, Región de Arica y Parinacota, Chile",http://www.inacap.cl/tportalvp/diseno-y-comunicaciones/contenido/carreras/diseno-grafico-profesional-cod-a7-a70-5,(58) 58 39 00, Sitio
Diseño Gráfico Publicitario,IP LOS LEONES,"Arturo Prat 269, Santiago, Región Metropolitana, Chile",http://www.ipleones.cl/carreras/diseno-grafico-publicitario,562 2652 1200, Sitio
Diseño Industrial,IP DUOC UC,"Álvarez 2336, Viña del Mar, Región de Valparaíso, Chile",http://www.duoc.cl/carrera/diseno-industrial,2 2999 3862, Sitio
Diseño Industrial,IP DUOC UC,"Camino El Alba 12881, Las Condes, Región Metropolitana, Chile",http://www.duoc.cl/carrera/diseno-industrial,2 2999 3862, Sitio
Diseño Industrial,IP DUOC UC,"Av. Américo Vespucio 1501, Los Cerrillos, Cerrillos, Región Metropolitana, Chile",http://www.duoc.cl/carrera/diseno-industrial,2 2999 3862, Sitio
Diseño Industrial,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,"Brasil 2950, Valparaíso, Región de Valparaíso, Chile",http://www.pucv.cl/pucv/pregrado/diseno-industrial/2015-06-08/162247.html,56 32 227 3000, Sitio
Diseño Industrial,UNIVERSIDAD DE CHILE,"Portugal 84, Santiago, Región Metropolitana, Chile",http://www.uchile.cl/carreras/4929/diseno,(+56) 22 978 3011, Sitio
Diseño Industrial,UNIVERSIDAD TECNOLOGICA METROPOLITANA,"Dieciocho 161, Santiago, Región Metropolitana, Chile",https://fhtcs.utem.cl/carreras-ingreso-psu/diseno-industrial/,2787 7500, Sitio
Diseño Mención Comunicación/Equipamiento,UNIVERSIDAD DE LA SERENA,"Benavente 980, La Serena, Región de Coquimbo, Chile",http://www.userena.cl/boton-carreras/category/facultad-de-humanidades-2.html,(56) 51 2204000, Sitio
Diseño Mención Industrial/Gráfico/Ambienstes,UNIVERSIDAD MAYOR,"Portugal 351, Santiago, Región Metropolitana, Chile",https://www.umayor.cl/um/carreras/diseno-santiago/10000,600 328 1000, Sitio
Diseño Multimedia,UNIVERSIDAD DE TARAPACA,"Gral Velásquez 1775, Arica, Región de Arica y Parinacota, Chile",http://admision.uta.cl/diseno-multimedia/admision/2016-03-01/172441.html,(+56) 58 2205100, Sitio
Diseño Teatral,CFT DEL MEDIO AMBIENTE,"Compañía de Jesús 1264, Santiago, Región Metropolitana, Chile",http://idma.cl/carreras/,(+56) 22 687 36 25, Sitio
Diseño Vestuario y Textiles,UNIVERSIDAD DEL PACIFICO,"Av. Las Condes 11121, Las Condes, Región Metropolitana, Chile",http://www.upacifico.cl/carrera/diseno-de-vestuario-y-textiles#!/carrera/diseno-de-vestuario-y-textiles,(56) 228625315, Sitio
Diseño Web & Mobile,CFT INACAP,"Apoquindo Ote. 7282, Las Condes, Región Metropolitana, Chile",http://www.inacap.cl/tportalvp/diseno-y-comunicaciones/contenido/carreras/carrera-diseno-y-programacion-multimedia,(2) 2472 2500, Sitio
Diseño y Producción Gráfica,CFT INACAP,"Santa María 2190, Arica, Región de Arica y Parinacota, Chile",http://portales.inacap.cl/areas-inacap/diseno-y-comunicacion/carrera/diseno-y-produccion-grafica,(58) 257 88 00, Sitio
Diseño y Producción Gráfica,CFT INACAP,"Av. La Tirana 4310, Iquique, Región de Tarapacá, Chile",http://portales.inacap.cl/areas-inacap/diseno-y-comunicacion/carrera/diseno-y-produccion-grafica,(57) 2 544 900, Sitio
Diseño y Producción Gráfica,CFT INACAP,"Francisco de Aguirre 389, La Serena, Región de Coquimbo, Chile",http://portales.inacap.cl/areas-inacap/diseno-y-comunicacion/carrera/diseno-y-produccion-grafica,(51) 255 35 00, Sitio
Diseño y Producción Gráfica,CFT INACAP,"Apoquindo Ote. 7282, Las Condes, Región Metropolitana, Chile",http://portales.inacap.cl/areas-inacap/diseno-y-comunicacion/carrera/diseno-y-produccion-grafica,(56) 2 2472 25 00, Sitio
Diseño y Producción Gráfica,CFT INACAP,"Brown Nte 290, Ñuñoa, Región Metropolitana, Chile",http://portales.inacap.cl/areas-inacap/diseno-y-comunicacion/carrera/diseno-y-produccion-grafica,(56) 2 2476 61 00, Sitio
Diseño y Producción Gráfica,CFT INACAP,"Av. Concha Y Toro 2730, Puente Alto, Región Metropolitana, Chile",http://portales.inacap.cl/areas-inacap/diseno-y-comunicacion/carrera/diseno-y-produccion-grafica,(56) 2 2816 2300, Sitio
Diseño y Producción Gráfica,CFT INACAP,"Ruta 5 6, Curicó, Romeral, VII Región, Chile",http://portales.inacap.cl/areas-inacap/diseno-y-comunicacion/carrera/diseno-y-produccion-grafica,(75) 254 7400, Sitio
Diseño y Producción Gráfica,CFT INACAP,"Luis Durand 2150, Temuco, IX Región, Chile",http://portales.inacap.cl/areas-inacap/diseno-y-comunicacion/carrera/diseno-y-produccion-grafica,(45) 291 67 00, Sitio
Diseño y Producción Gráfica,CFT INACAP,"Alcalde René Soriano Bórquez 2382, Osorno, X Región, Chile",http://portales.inacap.cl/areas-inacap/diseno-y-comunicacion/carrera/diseno-y-produccion-grafica,(64) 255 71 00, Sitio
Diseño y Producción Gráfica,CFT INACAP,"Pedro Sarmiento de Gamboa 4, Punta Arenas, Región de Magallanes y de la Antártica Chilena, Chile",http://portales.inacap.cl/areas-inacap/diseno-y-comunicacion/carrera/diseno-y-produccion-grafica,(61) 271 31 00, Sitio
Técnico en Diseño Publicitario Multimedial,IP SANTO TOMAS,"Río Copiapó Sur 2351, Copiapó, III Región, Chile",http://ipcft.santotomas.cl/carreras/tecnico-diseno-digital-publicitario/,600 444 4444, Sitio
